,Status,Paper.code,Paper.number,Screening.set,Extraction.set,Paper,Publication.year,Title,DOI,Species.latin,Family,Class,Phylum,Sex.exposed,Fertilisation.mode,Agricultural.importance,Lab.or.field,Animal.origin,Stressor.variation,Habitat,Country.of.origin,Continent.of.origin,Ocean.sea.of.origin,Exposure.duration,Life.stage.of.animal,Lowest.temp.below.10.C.,Constant.or.fluctuating.,Acclimated.,Effect.size.code,Experiment.code,Trait.category,Trait,Sex,Rearing.temperature,es,v,diff,reftemp,treattemp,warm.cool
3693,Good,TEMP1515,1316,25,12A,"Ozder, N.et al.",2007,"Effect of temperature on development, mortality, fecundity and reproduction of Tuberolachnus salignus on weeping willow (Salix babylonica) and corkscrew willow (Salix matsudana)",10.1007/BF02980702,Tuberolachnus salignus,Aphididae,Insecta,Arthropoda,Parthenogenetic,NA,Pest,Lab,Wild-caught,Experimental,Terrestrial,Turkey,Europe,NA,More than 5 days,Mix,No,Constant,No,TEMP1515_2,TEMP1515A,Reproduction,Fecundity (Progeny/female),Parthenogenetic,25,-0.247885663,0.050384046,-7.5,25,17.5,Cool
3697,Good,TEMP1515,1316,25,12A,"Ozder, N.et al.",2007,"Effect of temperature on development, mortality, fecundity and reproduction of Tuberolachnus salignus on weeping willow (Salix babylonica) and corkscrew willow (Salix matsudana)",10.1007/BF02980702,Tuberolachnus salignus,Aphididae,Insecta,Arthropoda,Parthenogenetic,NA,Pest,Lab,Wild-caught,Experimental,Terrestrial,Turkey,Europe,NA,More than 5 days,Mix,No,Constant,No,TEMP1515_2,TEMP1515A,Reproduction,Fecundity (Progeny/female),Parthenogenetic,25,-0.193668908,0.050234423,-5,25,20,Cool
3703,Good,TEMP1515,1316,25,12A,"Ozder, N.et al.",2007,"Effect of temperature on development, mortality, fecundity and reproduction of Tuberolachnus salignus on weeping willow (Salix babylonica) and corkscrew willow (Salix matsudana)",10.1007/BF02980702,Tuberolachnus salignus,Aphididae,Insecta,Arthropoda,Parthenogenetic,NA,Pest,Lab,Wild-caught,Experimental,Terrestrial,Turkey,Europe,NA,More than 5 days,Mix,No,Constant,No,TEMP1515_2,TEMP1515A,Reproduction,Fecundity (Progeny/female),Parthenogenetic,25,-0.202722537,0.050256853,-2.5,25,22.5,Cool
3711,Good,TEMP1515,1316,25,12A,"Ozder, N.et al.",2007,"Effect of temperature on development, mortality, fecundity and reproduction of Tuberolachnus salignus on weeping willow (Salix babylonica) and corkscrew willow (Salix matsudana)",10.1007/BF02980702,Tuberolachnus salignus,Aphididae,Insecta,Arthropoda,Parthenogenetic,NA,Pest,Lab,Wild-caught,Experimental,Terrestrial,Turkey,Europe,NA,More than 5 days,Mix,No,Constant,No,TEMP1515_2,TEMP1515A,Reproduction,Fecundity (Progeny/female),Parthenogenetic,25,0,0,0,25,25,Reference
3715,Good,TEMP1515,1316,25,12A,"Ozder, N.et al.",2007,"Effect of temperature on development, mortality, fecundity and reproduction of Tuberolachnus salignus on weeping willow (Salix babylonica) and corkscrew willow (Salix matsudana)",10.1007/BF02980702,Tuberolachnus salignus,Aphididae,Insecta,Arthropoda,Parthenogenetic,NA,Pest,Lab,Wild-caught,Experimental,Terrestrial,Turkey,Europe,NA,More than 5 days,Mix,No,Constant,No,TEMP1515_2,TEMP1515A,Reproduction,Fecundity (Progeny/female),Parthenogenetic,25,-0.368989792,0.050850959,2.5,25,27.5,Warm
3695,Good,TEMP1515,1316,25,12A,"Ozder, N.et al.",2007,"Effect of temperature on development, mortality, fecundity and reproduction of Tuberolachnus salignus on weeping willow (Salix babylonica) and corkscrew willow (Salix matsudana)",10.1007/BF02980702,Tuberolachnus salignus,Aphididae,Insecta,Arthropoda,Parthenogenetic,NA,Pest,Lab,Wild-caught,Experimental,Terrestrial,Turkey,Europe,NA,More than 5 days,Mix,No,Constant,No,TEMP1515_4,TEMP1515B,Reproduction,Fecundity (Progeny/female),Parthenogenetic,25,-0.125487868,0.05009842,-7.5,25,17.5,Cool
3699,Good,TEMP1515,1316,25,12A,"Ozder, N.et al.",2007,"Effect of temperature on development, mortality, fecundity and reproduction of Tuberolachnus salignus on weeping willow (Salix babylonica) and corkscrew willow (Salix matsudana)",10.1007/BF02980702,Tuberolachnus salignus,Aphididae,Insecta,Arthropoda,Parthenogenetic,NA,Pest,Lab,Wild-caught,Experimental,Terrestrial,Turkey,Europe,NA,More than 5 days,Mix,No,Constant,No,TEMP1515_4,TEMP1515B,Reproduction,Fecundity (Progeny/female),Parthenogenetic,25,0.02924117,0.050005344,-5,25,20,Cool
3705,Good,TEMP1515,1316,25,12A,"Ozder, N.et al.",2007,"Effect of temperature on development, mortality, fecundity and reproduction of Tuberolachnus salignus on weeping willow (Salix babylonica) and corkscrew willow (Salix matsudana)",10.1007/BF02980702,Tuberolachnus salignus,Aphididae,Insecta,Arthropoda,Parthenogenetic,NA,Pest,Lab,Wild-caught,Experimental,Terrestrial,Turkey,Europe,NA,More than 5 days,Mix,No,Constant,No,TEMP1515_4,TEMP1515B,Reproduction,Fecundity (Progeny/female),Parthenogenetic,25,-0.216552124,0.050293093,-2.5,25,22.5,Cool
3713,Good,TEMP1515,1316,25,12A,"Ozder, N.et al.",2007,"Effect of temperature on development, mortality, fecundity and reproduction of Tuberolachnus salignus on weeping willow (Salix babylonica) and corkscrew willow (Salix matsudana)",10.1007/BF02980702,Tuberolachnus salignus,Aphididae,Insecta,Arthropoda,Parthenogenetic,NA,Pest,Lab,Wild-caught,Experimental,Terrestrial,Turkey,Europe,NA,More than 5 days,Mix,No,Constant,No,TEMP1515_4,TEMP1515B,Reproduction,Fecundity (Progeny/female),Parthenogenetic,25,0,0,0,25,25,Reference
1057,Good,TEMP1525,1325,25,12A,"Palyvos, N. E.; Emmanouel, N. G.",2011,"Reproduction, survival, and life table parameters of the predatory mite Cheyletus malaccensis (Acari: Cheyletidae) at various constant temperatures",10.1007/s10493-011-9427-7,Cheyletus malaccensis,Cheyletidae,Arachnida,Arthropoda,Female,Internal,Control agent,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,Yes (< 4 days),TEMP1525_2,TEMP1525A,Reproduction,Fecundity (total eggs/ fertilized female),Female,25,-1.978310443,0.142046358,-7.5,25,17.5,Cool
1059,Good,TEMP1525,1325,25,12A,"Palyvos, N. E.; Emmanouel, N. G.",2011,"Reproduction, survival, and life table parameters of the predatory mite Cheyletus malaccensis (Acari: Cheyletidae) at various constant temperatures",10.1007/s10493-011-9427-7,Cheyletus malaccensis,Cheyletidae,Arachnida,Arthropoda,Female,Internal,Control agent,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,Yes (< 4 days),TEMP1525_2,TEMP1525A,Reproduction,Fecundity (total eggs/ fertilized female),Female,25,-0.810602132,0.11420129,-5,25,20,Cool
1061,Good,TEMP1525,1325,25,12A,"Palyvos, N. E.; Emmanouel, N. G.",2011,"Reproduction, survival, and life table parameters of the predatory mite Cheyletus malaccensis (Acari: Cheyletidae) at various constant temperatures",10.1007/s10493-011-9427-7,Cheyletus malaccensis,Cheyletidae,Arachnida,Arthropoda,Female,Internal,Control agent,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,Yes (< 4 days),TEMP1525_2,TEMP1525A,Reproduction,Fecundity (total eggs/ fertilized female),Female,25,0,0,0,25,25,Reference
1063,Good,TEMP1525,1325,25,12A,"Palyvos, N. E.; Emmanouel, N. G.",2011,"Reproduction, survival, and life table parameters of the predatory mite Cheyletus malaccensis (Acari: Cheyletidae) at various constant temperatures",10.1007/s10493-011-9427-7,Cheyletus malaccensis,Cheyletidae,Arachnida,Arthropoda,Female,Internal,Control agent,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,Yes (< 4 days),TEMP1525_2,TEMP1525A,Reproduction,Fecundity (total eggs/ fertilized female),Female,25,2.073739517,0.146649731,5,25,30,Warm
1065,Good,TEMP1525,1325,25,12A,"Palyvos, N. E.; Emmanouel, N. G.",2011,"Reproduction, survival, and life table parameters of the predatory mite Cheyletus malaccensis (Acari: Cheyletidae) at various constant temperatures",10.1007/s10493-011-9427-7,Cheyletus malaccensis,Cheyletidae,Arachnida,Arthropoda,Female,Internal,Control agent,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,Yes (< 4 days),TEMP1525_2,TEMP1525A,Reproduction,Fecundity (total eggs/ fertilized female),Female,25,0.551325126,0.10132587,7.5,25,32.5,Warm
1067,Good,TEMP1525,1325,25,12A,"Palyvos, N. E.; Emmanouel, N. G.",2011,"Reproduction, survival, and life table parameters of the predatory mite Cheyletus malaccensis (Acari: Cheyletidae) at various constant temperatures",10.1007/s10493-011-9427-7,Cheyletus malaccensis,Cheyletidae,Arachnida,Arthropoda,Female,Internal,Control agent,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,Yes (< 4 days),TEMP1525_2,TEMP1525A,Reproduction,Fecundity (total eggs/ fertilized female),Female,25,-0.970990499,0.114719048,10,25,35,Warm
581,Good,TEMP1526,1326,25,12C,"Pan, L.et al.",2014,Combined effects of temperature and prey (Brachionus angularis) density on life-table demography and population growth of Asplanchna brightwelli (Rotifera,10.1051/limn/2014021,Asplanchna brightwelli,Asplanchnidae,Monogononta,Rotifera,Parthenogenetic,NA,No,Lab,Wild-caught,Experimental,Aquatic,China,Asia,NA,More than 5 days,Mix,No,Constant,No,TEMP1526_1,TEMP1526A,Reproduction,Fecundity,Parthenogenetic,25,1.302940032,0.606103295,-8,24,16,Cool
589,Good,TEMP1526,1326,25,12C,"Pan, L.et al.",2014,Combined effects of temperature and prey (Brachionus angularis) density on life-table demography and population growth of Asplanchna brightwelli (Rotifera,10.1051/limn/2014021,Asplanchna brightwelli,Asplanchnidae,Monogononta,Rotifera,Parthenogenetic,NA,No,Lab,Wild-caught,Experimental,Aquatic,China,Asia,NA,More than 5 days,Mix,No,Constant,No,TEMP1526_1,TEMP1526A,Reproduction,Fecundity,Parthenogenetic,25,1.362813671,0.616078819,-4,24,20,Cool
597,Good,TEMP1526,1326,25,12C,"Pan, L.et al.",2014,Combined effects of temperature and prey (Brachionus angularis) density on life-table demography and population growth of Asplanchna brightwelli (Rotifera,10.1051/limn/2014021,Asplanchna brightwelli,Asplanchnidae,Monogononta,Rotifera,Parthenogenetic,NA,No,Lab,Wild-caught,Experimental,Aquatic,China,Asia,NA,More than 5 days,Mix,No,Constant,No,TEMP1526_1,TEMP1526A,Reproduction,Fecundity,Parthenogenetic,25,0,0,0,24,24,Reference
605,Good,TEMP1526,1326,25,12C,"Pan, L.et al.",2014,Combined effects of temperature and prey (Brachionus angularis) density on life-table demography and population growth of Asplanchna brightwelli (Rotifera,10.1051/limn/2014021,Asplanchna brightwelli,Asplanchnidae,Monogononta,Rotifera,Parthenogenetic,NA,No,Lab,Wild-caught,Experimental,Aquatic,China,Asia,NA,More than 5 days,Mix,No,Constant,No,TEMP1526_1,TEMP1526A,Reproduction,Fecundity,Parthenogenetic,25,-1.373419385,0.61789255,4,24,28,Warm
583,Good,TEMP1526,1326,25,12C,"Pan, L.et al.",2014,Combined effects of temperature and prey (Brachionus angularis) density on life-table demography and population growth of Asplanchna brightwelli (Rotifera,10.1051/limn/2014021,Asplanchna brightwelli,Asplanchnidae,Monogononta,Rotifera,Parthenogenetic,NA,No,Lab,Wild-caught,Experimental,Aquatic,China,Asia,NA,More than 5 days,Mix,No,Constant,No,TEMP1526_3,TEMP1526B,Reproduction,Fecundity,Parthenogenetic,25,1.710844078,0.682936716,-8,24,16,Cool
591,Good,TEMP1526,1326,25,12C,"Pan, L.et al.",2014,Combined effects of temperature and prey (Brachionus angularis) density on life-table demography and population growth of Asplanchna brightwelli (Rotifera,10.1051/limn/2014021,Asplanchna brightwelli,Asplanchnidae,Monogononta,Rotifera,Parthenogenetic,NA,No,Lab,Wild-caught,Experimental,Aquatic,China,Asia,NA,More than 5 days,Mix,No,Constant,No,TEMP1526_3,TEMP1526B,Reproduction,Fecundity,Parthenogenetic,25,2.060129077,0.765258239,-4,24,20,Cool
599,Good,TEMP1526,1326,25,12C,"Pan, L.et al.",2014,Combined effects of temperature and prey (Brachionus angularis) density on life-table demography and population growth of Asplanchna brightwelli (Rotifera,10.1051/limn/2014021,Asplanchna brightwelli,Asplanchnidae,Monogononta,Rotifera,Parthenogenetic,NA,No,Lab,Wild-caught,Experimental,Aquatic,China,Asia,NA,More than 5 days,Mix,No,Constant,No,TEMP1526_3,TEMP1526B,Reproduction,Fecundity,Parthenogenetic,25,0,0,0,24,24,Reference
607,Good,TEMP1526,1326,25,12C,"Pan, L.et al.",2014,Combined effects of temperature and prey (Brachionus angularis) density on life-table demography and population growth of Asplanchna brightwelli (Rotifera,10.1051/limn/2014021,Asplanchna brightwelli,Asplanchnidae,Monogononta,Rotifera,Parthenogenetic,NA,No,Lab,Wild-caught,Experimental,Aquatic,China,Asia,NA,More than 5 days,Mix,No,Constant,No,TEMP1526_3,TEMP1526B,Reproduction,Fecundity,Parthenogenetic,25,0.868626688,0.54715702,4,24,28,Warm
585,Good,TEMP1526,1326,25,12C,"Pan, L.et al.",2014,Combined effects of temperature and prey (Brachionus angularis) density on life-table demography and population growth of Asplanchna brightwelli (Rotifera,10.1051/limn/2014021,Asplanchna brightwelli,Asplanchnidae,Monogononta,Rotifera,Parthenogenetic,NA,No,Lab,Wild-caught,Experimental,Aquatic,China,Asia,NA,More than 5 days,Mix,No,Constant,No,TEMP1526_5,TEMP1526C,Reproduction,Fecundity,Parthenogenetic,25,1.447711146,0.630991723,-8,24,16,Cool
593,Good,TEMP1526,1326,25,12C,"Pan, L.et al.",2014,Combined effects of temperature and prey (Brachionus angularis) density on life-table demography and population growth of Asplanchna brightwelli (Rotifera,10.1051/limn/2014021,Asplanchna brightwelli,Asplanchnidae,Monogononta,Rotifera,Parthenogenetic,NA,No,Lab,Wild-caught,Experimental,Aquatic,China,Asia,NA,More than 5 days,Mix,No,Constant,No,TEMP1526_5,TEMP1526C,Reproduction,Fecundity,Parthenogenetic,25,2.026795605,0.756743777,-4,24,20,Cool
601,Good,TEMP1526,1326,25,12C,"Pan, L.et al.",2014,Combined effects of temperature and prey (Brachionus angularis) density on life-table demography and population growth of Asplanchna brightwelli (Rotifera,10.1051/limn/2014021,Asplanchna brightwelli,Asplanchnidae,Monogononta,Rotifera,Parthenogenetic,NA,No,Lab,Wild-caught,Experimental,Aquatic,China,Asia,NA,More than 5 days,Mix,No,Constant,No,TEMP1526_5,TEMP1526C,Reproduction,Fecundity,Parthenogenetic,25,0,0,0,24,24,Reference
609,Good,TEMP1526,1326,25,12C,"Pan, L.et al.",2014,Combined effects of temperature and prey (Brachionus angularis) density on life-table demography and population growth of Asplanchna brightwelli (Rotifera,10.1051/limn/2014021,Asplanchna brightwelli,Asplanchnidae,Monogononta,Rotifera,Parthenogenetic,NA,No,Lab,Wild-caught,Experimental,Aquatic,China,Asia,NA,More than 5 days,Mix,No,Constant,No,TEMP1526_5,TEMP1526C,Reproduction,Fecundity,Parthenogenetic,25,0.340703418,0.507254926,4,24,28,Warm
587,Good,TEMP1526,1326,25,12C,"Pan, L.et al.",2014,Combined effects of temperature and prey (Brachionus angularis) density on life-table demography and population growth of Asplanchna brightwelli (Rotifera,10.1051/limn/2014021,Asplanchna brightwelli,Asplanchnidae,Monogononta,Rotifera,Parthenogenetic,NA,No,Lab,Wild-caught,Experimental,Aquatic,China,Asia,NA,More than 5 days,Mix,No,Constant,No,TEMP1526_7,TEMP1526D,Reproduction,Fecundity,Parthenogenetic,25,0,0.5,-8,24,16,Cool
595,Good,TEMP1526,1326,25,12C,"Pan, L.et al.",2014,Combined effects of temperature and prey (Brachionus angularis) density on life-table demography and population growth of Asplanchna brightwelli (Rotifera,10.1051/limn/2014021,Asplanchna brightwelli,Asplanchnidae,Monogononta,Rotifera,Parthenogenetic,NA,No,Lab,Wild-caught,Experimental,Aquatic,China,Asia,NA,More than 5 days,Mix,No,Constant,No,TEMP1526_7,TEMP1526D,Reproduction,Fecundity,Parthenogenetic,25,-0.511055127,0.516323584,-4,24,20,Cool
603,Good,TEMP1526,1326,25,12C,"Pan, L.et al.",2014,Combined effects of temperature and prey (Brachionus angularis) density on life-table demography and population growth of Asplanchna brightwelli (Rotifera,10.1051/limn/2014021,Asplanchna brightwelli,Asplanchnidae,Monogononta,Rotifera,Parthenogenetic,NA,No,Lab,Wild-caught,Experimental,Aquatic,China,Asia,NA,More than 5 days,Mix,No,Constant,No,TEMP1526_7,TEMP1526D,Reproduction,Fecundity,Parthenogenetic,25,0,0,0,24,24,Reference
611,Good,TEMP1526,1326,25,12C,"Pan, L.et al.",2014,Combined effects of temperature and prey (Brachionus angularis) density on life-table demography and population growth of Asplanchna brightwelli (Rotifera,10.1051/limn/2014021,Asplanchna brightwelli,Asplanchnidae,Monogononta,Rotifera,Parthenogenetic,NA,No,Lab,Wild-caught,Experimental,Aquatic,China,Asia,NA,More than 5 days,Mix,No,Constant,No,TEMP1526_7,TEMP1526D,Reproduction,Fecundity,Parthenogenetic,25,-1.592482261,0.658499985,4,24,28,Warm
281,Good,TEMP1529,1328,25,11B,"Pandey, R.; Johnson, M. m. o.",2005,Effects of cool storage on Anagyrus ananatis Gahan (Hymenoptera : Encyrtidae,10.1016/j.biocontrol.2005.06.003,Anagyrus ananatis,Encyrtidae,Insecta,Arthropoda,Both,Internal,Control agent,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Adult,No,Constant,Yes (> 4 days),TEMP1529_1,TEMP1529A,Reproduction,Progeny number,Female,25,-2.030920603,0.606231925,-10.2,25,14.8,Cool
283,Good,TEMP1529,1328,25,11B,"Pandey, R.; Johnson, M. m. o.",2005,Effects of cool storage on Anagyrus ananatis Gahan (Hymenoptera : Encyrtidae,10.1016/j.biocontrol.2005.06.003,Anagyrus ananatis,Encyrtidae,Insecta,Arthropoda,Both,Internal,Control agent,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Adult,No,Constant,Yes (> 4 days),TEMP1529_1,TEMP1529A,Reproduction,Progeny number,Female,25,0,0,0,25,25,Reference
2925,Good,TEMP1535,1335,25,12A,"Papanikolaou, N. E.et al.",2013,"Temperature-Dependent Development, Survival, Longevity, and Fecundity of Propylea quatuordecimpunctata (Coleoptera: Coccinellidae)",10.1603/AN12104,Propylea quatuordecimpunctata,Coccinellidae,Insecta,Arthropoda,Female,Internal,Control agent,Lab,Wild-caught,Experimental,Terrestrial,Greece,Europe,NA,More than 5 days,Mix,No,Constant,Yes (multiple generations),TEMP1535_1,TEMP1535A,Reproduction,Fecundity (eggs/female),Female,25,-1.383768377,0.125851402,-8,25,17,Cool
2927,Good,TEMP1535,1335,25,12A,"Papanikolaou, N. E.et al.",2013,"Temperature-Dependent Development, Survival, Longevity, and Fecundity of Propylea quatuordecimpunctata (Coleoptera: Coccinellidae)",10.1603/AN12104,Propylea quatuordecimpunctata,Coccinellidae,Insecta,Arthropoda,Female,Internal,Control agent,Lab,Wild-caught,Experimental,Terrestrial,Greece,Europe,NA,More than 5 days,Mix,No,Constant,Yes (multiple generations),TEMP1535_1,TEMP1535A,Reproduction,Fecundity (eggs/female),Female,25,-0.778718065,0.096737798,-5,25,20,Cool
2929,Good,TEMP1535,1335,25,12A,"Papanikolaou, N. E.et al.",2013,"Temperature-Dependent Development, Survival, Longevity, and Fecundity of Propylea quatuordecimpunctata (Coleoptera: Coccinellidae)",10.1603/AN12104,Propylea quatuordecimpunctata,Coccinellidae,Insecta,Arthropoda,Female,Internal,Control agent,Lab,Wild-caught,Experimental,Terrestrial,Greece,Europe,NA,More than 5 days,Mix,No,Constant,Yes (multiple generations),TEMP1535_1,TEMP1535A,Reproduction,Fecundity (eggs/female),Female,25,0,0,0,25,25,Reference
2931,Good,TEMP1535,1335,25,12A,"Papanikolaou, N. E.et al.",2013,"Temperature-Dependent Development, Survival, Longevity, and Fecundity of Propylea quatuordecimpunctata (Coleoptera: Coccinellidae)",10.1603/AN12104,Propylea quatuordecimpunctata,Coccinellidae,Insecta,Arthropoda,Female,Internal,Control agent,Lab,Wild-caught,Experimental,Terrestrial,Greece,Europe,NA,More than 5 days,Mix,No,Constant,Yes (multiple generations),TEMP1535_1,TEMP1535A,Reproduction,Fecundity (eggs/female),Female,25,-1.430592616,0.132249107,5,25,30,Warm
1350,Good,TEMP1540,1339,25,12A,"Pappas, M. L.et al.",2008,"Effect of temperature on survival, development and reproduction of the predatory lacewing Dichochrysa prasina (Neuroptera : Chrysopidae) reared on Ephestia kuehniella eggs (Lepidoptera : Pyralidae",10.1016/j.biocontrol.2008.02.005,Dichochrysa prasina,Chrysopidae,Insecta,Arthropoda,Both,Internal,Control agent,Lab,Wild-caught,Experimental,Terrestrial,Greece,Europe,NA,More than 5 days,Mix,No,Constant,No,TEMP1540_1,TEMP1540A,Reproduction,Fecundity (Number of eggs/female),Female,25,-4.171952868,0.433627182,-10,25,15,Cool
1352,Good,TEMP1540,1339,25,12A,"Pappas, M. L.et al.",2008,"Effect of temperature on survival, development and reproduction of the predatory lacewing Dichochrysa prasina (Neuroptera : Chrysopidae) reared on Ephestia kuehniella eggs (Lepidoptera : Pyralidae",10.1016/j.biocontrol.2008.02.005,Dichochrysa prasina,Chrysopidae,Insecta,Arthropoda,Both,Internal,Control agent,Lab,Wild-caught,Experimental,Terrestrial,Greece,Europe,NA,More than 5 days,Mix,No,Constant,No,TEMP1540_1,TEMP1540A,Reproduction,Fecundity (Number of eggs/female),Female,25,-0.334396492,0.101648389,-5,25,20,Cool
1354,Good,TEMP1540,1339,25,12A,"Pappas, M. L.et al.",2008,"Effect of temperature on survival, development and reproduction of the predatory lacewing Dichochrysa prasina (Neuroptera : Chrysopidae) reared on Ephestia kuehniella eggs (Lepidoptera : Pyralidae",10.1016/j.biocontrol.2008.02.005,Dichochrysa prasina,Chrysopidae,Insecta,Arthropoda,Both,Internal,Control agent,Lab,Wild-caught,Experimental,Terrestrial,Greece,Europe,NA,More than 5 days,Mix,No,Constant,No,TEMP1540_1,TEMP1540A,Reproduction,Fecundity (Number of eggs/female),Female,25,0,0,0,25,25,Reference
1356,Good,TEMP1540,1339,25,12A,"Pappas, M. L.et al.",2008,"Effect of temperature on survival, development and reproduction of the predatory lacewing Dichochrysa prasina (Neuroptera : Chrysopidae) reared on Ephestia kuehniella eggs (Lepidoptera : Pyralidae",10.1016/j.biocontrol.2008.02.005,Dichochrysa prasina,Chrysopidae,Insecta,Arthropoda,Both,Internal,Control agent,Lab,Wild-caught,Experimental,Terrestrial,Greece,Europe,NA,More than 5 days,Mix,No,Constant,No,TEMP1540_1,TEMP1540A,Reproduction,Fecundity (Number of eggs/female),Female,25,-0.586464282,0.149273009,2,25,27,Warm
1358,Good,TEMP1540,1339,25,12A,"Pappas, M. L.et al.",2008,"Effect of temperature on survival, development and reproduction of the predatory lacewing Dichochrysa prasina (Neuroptera : Chrysopidae) reared on Ephestia kuehniella eggs (Lepidoptera : Pyralidae",10.1016/j.biocontrol.2008.02.005,Dichochrysa prasina,Chrysopidae,Insecta,Arthropoda,Both,Internal,Control agent,Lab,Wild-caught,Experimental,Terrestrial,Greece,Europe,NA,More than 5 days,Mix,No,Constant,No,TEMP1540_1,TEMP1540A,Reproduction,Fecundity (Number of eggs/female),Female,25,-5.328308448,0.536811053,5,25,30,Warm
395,Good,TEMP1541,1340,25,11B,"Parajulee, M. N. m. a.",2007,"Influence of constant temperatures on life history parameters of the cotton aphid, Aphis gossypii, infesting cotton",10.1093/ee/36.4.666,Aphis gossypii,Aphididae,Insecta,Arthropoda,Parthenogenetic,NA,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,No,TEMP1541_1,TEMP1541A,Reproduction,number of eggs per female,Parthenogenetic,26.7,-3.60159142,0.268932358,-15,25,10,Cool
401,Good,TEMP1541,1340,25,11B,"Parajulee, M. N. m. a.",2007,"Influence of constant temperatures on life history parameters of the cotton aphid, Aphis gossypii, infesting cotton",10.1093/ee/36.4.666,Aphis gossypii,Aphididae,Insecta,Arthropoda,Parthenogenetic,NA,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,No,TEMP1541_1,TEMP1541A,Reproduction,number of eggs per female,Parthenogenetic,26.7,-1.290144002,0.120805894,-10,25,15,Cool
407,Good,TEMP1541,1340,25,11B,"Parajulee, M. N. m. a.",2007,"Influence of constant temperatures on life history parameters of the cotton aphid, Aphis gossypii, infesting cotton",10.1093/ee/36.4.666,Aphis gossypii,Aphididae,Insecta,Arthropoda,Parthenogenetic,NA,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,No,TEMP1541_1,TEMP1541A,Reproduction,number of eggs per female,Parthenogenetic,26.7,-0.372264654,0.107378989,-5,25,20,Cool
421,Good,TEMP1541,1340,25,11B,"Parajulee, M. N. m. a.",2007,"Influence of constant temperatures on life history parameters of the cotton aphid, Aphis gossypii, infesting cotton",10.1093/ee/36.4.666,Aphis gossypii,Aphididae,Insecta,Arthropoda,Parthenogenetic,NA,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,No,TEMP1541_1,TEMP1541A,Reproduction,number of eggs per female,Parthenogenetic,26.7,0,0,0,25,25,Reference
435,Good,TEMP1541,1340,25,11B,"Parajulee, M. N. m. a.",2007,"Influence of constant temperatures on life history parameters of the cotton aphid, Aphis gossypii, infesting cotton",10.1093/ee/36.4.666,Aphis gossypii,Aphididae,Insecta,Arthropoda,Parthenogenetic,NA,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,No,TEMP1541_1,TEMP1541A,Reproduction,number of eggs per female,Parthenogenetic,26.7,0.747601565,0.098017895,5,25,30,Warm
445,Good,TEMP1541,1340,25,11B,"Parajulee, M. N. m. a.",2007,"Influence of constant temperatures on life history parameters of the cotton aphid, Aphis gossypii, infesting cotton",10.1093/ee/36.4.666,Aphis gossypii,Aphididae,Insecta,Arthropoda,Parthenogenetic,NA,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,No,TEMP1541_1,TEMP1541A,Reproduction,number of eggs per female,Parthenogenetic,26.7,-2.938142899,0.219143499,10,25,35,Warm
239,Good,TEMP1548,1346,25,12A,"Park, Y.-g.; Lee, J.-H. m. d.",2020,Temperature-dependent development and oviposition models and life history characteristics of Amblyseius eharai (Amitai et Swirski) (Acari: Phytoseiidae) preying on Tetranychus urticae (Koch) (Acari: Tetranychidae,10.1016/j.aspen.2020.07.021,Amblyseius eharai,Phytoseiidae,Insecta,Arthropoda,Both,Internal,Control agent,Lab,Wild-caught,Experimental,Terrestrial,Korea,Asia,NA,More than 5 days,Mix,No,Constant,No,TEMP1548_3,TEMP1548A,Reproduction,Fecundity,Female,27,-1.314746784,0.139825281,-6.1,24.1,18,Cool
241,Good,TEMP1548,1346,25,12A,"Park, Y.-g.; Lee, J.-H. m. d.",2020,Temperature-dependent development and oviposition models and life history characteristics of Amblyseius eharai (Amitai et Swirski) (Acari: Phytoseiidae) preying on Tetranychus urticae (Koch) (Acari: Tetranychidae,10.1016/j.aspen.2020.07.021,Amblyseius eharai,Phytoseiidae,Insecta,Arthropoda,Both,Internal,Control agent,Lab,Wild-caught,Experimental,Terrestrial,Korea,Asia,NA,More than 5 days,Mix,No,Constant,No,TEMP1548_3,TEMP1548A,Reproduction,Fecundity,Female,27,-0.554330324,0.116767807,-2.5,24.1,21.6,Cool
