"","Status","Paper.code","Paper.number","Screening.set","Extraction.set","Paper","Publication.year","Title","DOI","Species.latin","Family","Class","Phylum","Sex.exposed","Fertilisation.mode","Agricultural.importance","Lab.or.field","Animal.origin","Stressor.variation","Habitat","Country.of.origin","Continent.of.origin","Ocean.sea.of.origin","Exposure.duration","Life.stage.of.animal","Lowest.temp.below.10.C.","Constant.or.fluctuating.","Acclimated.","Experiment.code","Sex","Shared.Longevity.","Rearing.temperature","diff","reftemp","treattemp","warm.cool","es_reproduction","v_reproduction","es_longevity","v_longevity"
"1017","Good","TEMP2061",1787,34,"25C","Tian, Q. H.et al.",2021,"Influence of cold-storage of eggs of Menochilus sexmaculatus (Coleoptera: Coccinellidae) on the biology and predatory efficiency","10.1007/s42690-020-00371-w","Menochilus sexmaculatus","Coccinellidae","Insecta","Arthropoda","Female","Internal","Control agent","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"1 to 5 days","Embryo","Yes","Constant","No","TEMP2061A","Female","Female",26,-18,26,8,"Cool",-1.760705432,0.185001394,-1.376278796,0.164902389
"1018","Good","TEMP2061",1787,34,"25C","Tian, Q. H.et al.",2021,"Influence of cold-storage of eggs of Menochilus sexmaculatus (Coleoptera: Coccinellidae) on the biology and predatory efficiency","10.1007/s42690-020-00371-w","Menochilus sexmaculatus","Coccinellidae","Insecta","Arthropoda","Female","Internal","Control agent","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"1 to 5 days","Embryo","Yes","Constant","No","TEMP2061A","Female","Female",26,-14,26,12,"Cool",-0.412048219,0.136163062,-0.546239855,0.1383063
"1019","Good","TEMP2063",1788,34,"22B","Tian, Z.et al.",2020,"Effects of temperature on survival, development, and reproduction of Aphis glycines (Hemiptera: Aphididae) autumnal morphs","10.1653/024.103.0213","Aphis glycines","Aphididae","Insecta","Arthropoda","Parthenogenetic",NA,"Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","Constant","No","TEMP2063A","Female","Female",25,-10,23,13,"Cool",-4.734135935,0.190604009,0.310867427,0.052854599
"1020","Good","TEMP2063",1788,34,"22B","Tian, Z.et al.",2020,"Effects of temperature on survival, development, and reproduction of Aphis glycines (Hemiptera: Aphididae) autumnal morphs","10.1653/024.103.0213","Aphis glycines","Aphididae","Insecta","Arthropoda","Parthenogenetic",NA,"Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","Constant","No","TEMP2063A","Female","Female",25,-5,23,18,"Cool",-1.517277632,0.087481938,0.099097762,0.068055574
"1021","Good","TEMP2063",1788,34,"22B","Tian, Z.et al.",2020,"Effects of temperature on survival, development, and reproduction of Aphis glycines (Hemiptera: Aphididae) autumnal morphs","10.1653/024.103.0213","Aphis glycines","Aphididae","Insecta","Arthropoda","Parthenogenetic",NA,"Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","Constant","No","TEMP2063A","Female","Female",25,5,23,28,"Warm",-1.195693326,0.083260678,-0.135032167,0.070879548
"1022","Good","TEMP2063",1788,34,"22B","Tian, Z.et al.",2020,"Effects of temperature on survival, development, and reproduction of Aphis glycines (Hemiptera: Aphididae) autumnal morphs","10.1653/024.103.0213","Aphis glycines","Aphididae","Insecta","Arthropoda","Parthenogenetic",NA,"Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","Constant","No","TEMP2063A","Female","Female",25,10,23,33,"Warm",-11.62534537,1.234369714,-0.193365344,0.06961743
"1024","Good","TEMP2069",1792,34,"16B","Tochen, S.et al.",2014,"Temperature-Related Development and Population Parameters for Drosophila suzukii (Diptera: Drosophilidae) on Cherry and Blueberry","10.1603/EN13200","Drosophila suzukii","Drosophilidae","Insecta","Arthropoda","Both","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","Constant","No","TEMP2069A","Female","Female",22,-8,22,14,"Cool",-0.654969026,0.056202713,0.670552473,0.056340421
"1025","Good","TEMP2069",1792,34,"16B","Tochen, S.et al.",2014,"Temperature-Related Development and Population Parameters for Drosophila suzukii (Diptera: Drosophilidae) on Cherry and Blueberry","10.1603/EN13200","Drosophila suzukii","Drosophilidae","Insecta","Arthropoda","Both","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","Constant","No","TEMP2069A","Female","Female",22,-4,22,18,"Cool",0.795267475,0.069005082,0.349301094,0.065017277
"1026","Good","TEMP2069",1792,34,"16B","Tochen, S.et al.",2014,"Temperature-Related Development and Population Parameters for Drosophila suzukii (Diptera: Drosophilidae) on Cherry and Blueberry","10.1603/EN13200","Drosophila suzukii","Drosophilidae","Insecta","Arthropoda","Both","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","Constant","No","TEMP2069A","Female","Female",22,4,22,26,"Warm",-0.667904355,0.050484456,0.074508108,0.047893016
"1027","Good","TEMP2069",1792,34,"16B","Tochen, S.et al.",2014,"Temperature-Related Development and Population Parameters for Drosophila suzukii (Diptera: Drosophilidae) on Cherry and Blueberry","10.1603/EN13200","Drosophila suzukii","Drosophilidae","Insecta","Arthropoda","Both","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","Constant","No","TEMP2069A","Female","Female",22,6,22,28,"Warm",-0.652985414,0.083465659,0.008709426,0.079659283
"1029","Good","TEMP2069",1792,34,"16B","Tochen, S.et al.",2014,"Temperature-Related Development and Population Parameters for Drosophila suzukii (Diptera: Drosophilidae) on Cherry and Blueberry","10.1603/EN13200","Drosophila suzukii","Drosophilidae","Insecta","Arthropoda","Both","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","Constant","No","TEMP2069B","Female","Female",22,-8,22,14,"Cool",-0.32428036,0.063636542,0.698061734,0.066488276
"1030","Good","TEMP2069",1792,34,"16B","Tochen, S.et al.",2014,"Temperature-Related Development and Population Parameters for Drosophila suzukii (Diptera: Drosophilidae) on Cherry and Blueberry","10.1603/EN13200","Drosophila suzukii","Drosophilidae","Insecta","Arthropoda","Both","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","Constant","No","TEMP2069B","Female","Female",22,-4,22,18,"Cool",-0.066849029,0.069880256,0.852501388,0.075612715
"1031","Good","TEMP2069",1792,34,"16B","Tochen, S.et al.",2014,"Temperature-Related Development and Population Parameters for Drosophila suzukii (Diptera: Drosophilidae) on Cherry and Blueberry","10.1603/EN13200","Drosophila suzukii","Drosophilidae","Insecta","Arthropoda","Both","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","Constant","No","TEMP2069B","Female","Female",22,4,22,26,"Warm",-0.179967473,0.045405534,0.100006703,0.045279765
"1032","Good","TEMP2069",1792,34,"16B","Tochen, S.et al.",2014,"Temperature-Related Development and Population Parameters for Drosophila suzukii (Diptera: Drosophilidae) on Cherry and Blueberry","10.1603/EN13200","Drosophila suzukii","Drosophilidae","Insecta","Arthropoda","Both","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","Constant","No","TEMP2069B","Female","Female",22,6,22,28,"Warm",-0.293379558,0.077739086,0.120900129,0.07714363
"1053","Good","TEMP2081",1803,35,"16B","Tsueda, H.; Tsuchida, K. m. d.",2011,"Reproductive differences between Q and B whiteflies, Bemisia tabaci, on three host plants and negative interactions in mixed cohorts","10.1111/j.1570-7458.2011.01189.x","Bemisia tabaci","Aleyrodidae","Insecta","Arthropoda","Both","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Adult","No","Constant","No","TEMP2081A","Female","Yes",30,-10,30,20,"Cool",-1.2866588,0.150867045,1.483532114,0.159388555
"1054","Good","TEMP2081",1803,35,"16B","Tsueda, H.; Tsuchida, K. m. d.",2011,"Reproductive differences between Q and B whiteflies, Bemisia tabaci, on three host plants and negative interactions in mixed cohorts","10.1111/j.1570-7458.2011.01189.x","Bemisia tabaci","Aleyrodidae","Insecta","Arthropoda","Both","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Adult","No","Constant","No","TEMP2081B","Female","Yes",30,-10,30,20,"Cool",-1.757183233,0.18539012,1.518873268,0.172378172
"1055","Good","TEMP2081",1803,35,"16B","Tsueda, H.; Tsuchida, K. m. d.",2011,"Reproductive differences between Q and B whiteflies, Bemisia tabaci, on three host plants and negative interactions in mixed cohorts","10.1111/j.1570-7458.2011.01189.x","Bemisia tabaci","Aleyrodidae","Insecta","Arthropoda","Both","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Adult","No","Constant","No","TEMP2081C","Female","Yes",30,-10,30,20,"Cool",-0.293332296,0.135362635,1.255147246,0.160185148
"1056","Good","TEMP2081",1803,35,"16B","Tsueda, H.; Tsuchida, K. m. d.",2011,"Reproductive differences between Q and B whiteflies, Bemisia tabaci, on three host plants and negative interactions in mixed cohorts","10.1111/j.1570-7458.2011.01189.x","Bemisia tabaci","Aleyrodidae","Insecta","Arthropoda","Both","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Adult","No","Constant","No","TEMP2081D","Female","Yes",30,-10,30,20,"Cool",-0.944666351,0.140927791,1.37164609,0.156381205
"1057","Good","TEMP2083",1804,35,"16B","TUDA, M.; SHIMADA, M. m. a.",1995,"DEVELOPMENTAL SCHEDULES AND PERSISTENCE OF EXPERIMENTAL HOST-PARASITOID SYSTEMS AT 2 DIFFERENT TEMPERATURES","10.1007/BF00328616","Callosobruchus chinensis","Chrysomelidae","Insecta","Arthropoda","Both","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","Constant","No","TEMP2083A","Female","Female",30,2,30,32,"Warm",-1.337371715,0.082973406,0.196190366,0.068142284
"1058","Good","TEMP2083",1804,35,"16B","TUDA, M.; SHIMADA, M. m. a.",1995,"DEVELOPMENTAL SCHEDULES AND PERSISTENCE OF EXPERIMENTAL HOST-PARASITOID SYSTEMS AT 2 DIFFERENT TEMPERATURES","10.1007/BF00328616","Heterospilus prosopidis","Ichneumonoidea","Insecta","Arthropoda","Both","Internal","Control agent","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","Constant","No","TEMP2083B","Female","Female",30,2,30,32,"Warm",0.190396808,0.167421895,-0.674016763,0.150969618
"1059","Good","TEMP2085",1805,35,"16B","Tunca, H.et al.",2010,"Temperature dependent development of the egg-larval parasitoid Chelonus oculator on the factitious host, Ephestia cautella","10.3906/tar-0907-262","Chelonus oculator","Braconidae","Insecta","Arthropoda","Both","Internal","Control agent","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Adult","No","Constant","No","TEMP2085A","Female","Female",NA,-10,25,15,"Cool",-8.406851297,1.580169641,-1.562849043,0.215516609
"1060","Good","TEMP2085",1805,35,"16B","Tunca, H.et al.",2010,"Temperature dependent development of the egg-larval parasitoid Chelonus oculator on the factitious host, Ephestia cautella","10.3906/tar-0907-262","Chelonus oculator","Braconidae","Insecta","Arthropoda","Both","Internal","Control agent","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Adult","No","Constant","No","TEMP2085A","Female","Female",NA,-5,25,20,"Cool",-2.176921448,0.382239113,1.031988931,0.274180706
"1061","Good","TEMP2085",1805,35,"16B","Tunca, H.et al.",2010,"Temperature dependent development of the egg-larval parasitoid Chelonus oculator on the factitious host, Ephestia cautella","10.3906/tar-0907-262","Chelonus oculator","Braconidae","Insecta","Arthropoda","Both","Internal","Control agent","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Adult","No","Constant","No","TEMP2085A","Female","Female",NA,5,25,30,"Warm",-3.243974907,0.40569206,-2.803058383,0.347730388
"1070","Good","TEMP2094",1814,35,"15A","Ullah, M. S.et al.",2019,"Effects of Temperature on Demographic Parameters of Bryobia praetiosa (Acari: Tetranychidae)","10.1093/jee/toz294","Bryobia praetiosa","Tetranychidae","Arachnida","Arthropoda","Parthenogenetic",NA,"Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","Constant","No","TEMP2094A","Parthenogenetic","Parthenogenetic",25,-10,25,15,"Cool",0.359778548,0.062137447,4.62722464,0.204015896
"1071","Good","TEMP2094",1814,35,"15A","Ullah, M. S.et al.",2019,"Effects of Temperature on Demographic Parameters of Bryobia praetiosa (Acari: Tetranychidae)","10.1093/jee/toz294","Bryobia praetiosa","Tetranychidae","Arachnida","Arthropoda","Parthenogenetic",NA,"Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","Constant","No","TEMP2094A","Parthenogenetic","Parthenogenetic",25,-5,25,20,"Cool",0.681825087,0.042789083,1.754780661,0.05599297
"1072","Good","TEMP2094",1814,35,"15A","Ullah, M. S.et al.",2019,"Effects of Temperature on Demographic Parameters of Bryobia praetiosa (Acari: Tetranychidae)","10.1093/jee/toz294","Bryobia praetiosa","Tetranychidae","Arachnida","Arthropoda","Parthenogenetic",NA,"Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","Constant","No","TEMP2094A","Parthenogenetic","Parthenogenetic",25,5,25,30,"Warm",-2.352989014,0.088694085,-2.127406813,0.082377225
"1073","Good","TEMP2096",1816,35,"16B","Urbaneja, A.et al.",2001,"Effect of temperature on the life history of Cirrospilus sp near lyncus (Hymenoptera : Eulophidae), a parasitoid of Phyllocnistis citrella (Lepidoptera : Gracillariidae)","10.1006/bcon.2001.0944","Cirrospilus sp. near lyncus","Eulophidae","Insecta","Arthropoda","Female","Internal","Control agent","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Adult","No","Constant","No","TEMP2096A","Female","Yes",25,-10,25,15,"Cool",-0.419887568,0.198642196,1.003877576,0.218438973
"1074","Good","TEMP2096",1816,35,"16B","Urbaneja, A.et al.",2001,"Effect of temperature on the life history of Cirrospilus sp near lyncus (Hymenoptera : Eulophidae), a parasitoid of Phyllocnistis citrella (Lepidoptera : Gracillariidae)","10.1006/bcon.2001.0944","Cirrospilus sp. near lyncus","Eulophidae","Insecta","Arthropoda","Female","Internal","Control agent","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Adult","No","Constant","No","TEMP2096A","Female","Yes",25,-5,25,20,"Cool",0.575393785,0.181439772,0.903201281,0.19197661
"1075","Good","TEMP2096",1816,35,"16B","Urbaneja, A.et al.",2001,"Effect of temperature on the life history of Cirrospilus sp near lyncus (Hymenoptera : Eulophidae), a parasitoid of Phyllocnistis citrella (Lepidoptera : Gracillariidae)","10.1006/bcon.2001.0944","Cirrospilus sp. near lyncus","Eulophidae","Insecta","Arthropoda","Female","Internal","Control agent","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Adult","No","Constant","No","TEMP2096A","Female","Yes",25,5,25,30,"Warm",-0.55879756,0.190430031,-0.541470128,0.18999674
"1076","Good","TEMP2102",1822,35,"15A","Uygun, N.; Atlihan, R. m. d.",2000,"The effect of temperature on development and fecundity of Scymnus levaillanti","10.1023/A:1026505329762","Scymnus levaillanti","Coccinellidae","Insecta","Arthropoda","Both","Internal","Control agent","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Juvenile","No","Constant","No","TEMP2102A","Female","Yes",25,-10,25,15,"Cool",-1.78929989,0.26079769,0.544028971,0.097380361
"1077","Good","TEMP2102",1822,35,"15A","Uygun, N.; Atlihan, R. m. d.",2000,"The effect of temperature on development and fecundity of Scymnus levaillanti","10.1023/A:1026505329762","Scymnus levaillanti","Coccinellidae","Insecta","Arthropoda","Both","Internal","Control agent","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Juvenile","No","Constant","No","TEMP2102A","Female","Yes",25,-5,25,20,"Cool",-0.085164403,0.167983272,0.248244934,0.084558017
"1078","Good","TEMP2102",1822,35,"15A","Uygun, N.; Atlihan, R. m. d.",2000,"The effect of temperature on development and fecundity of Scymnus levaillanti","10.1023/A:1026505329762","Scymnus levaillanti","Coccinellidae","Insecta","Arthropoda","Both","Internal","Control agent","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Juvenile","No","Constant","No","TEMP2102A","Female","Yes",25,5,25,30,"Warm",-0.198096276,0.161041253,-0.427254991,0.081953673
"1079","Good","TEMP2102",1822,35,"15A","Uygun, N.; Atlihan, R. m. d.",2000,"The effect of temperature on development and fecundity of Scymnus levaillanti","10.1023/A:1026505329762","Scymnus levaillanti","Coccinellidae","Insecta","Arthropoda","Both","Internal","Control agent","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Juvenile","No","Constant","No","TEMP2102A","Female","Yes",25,10,25,35,"Warm",-1.372490784,0.21787375,-0.666863688,0.090811514
"1080","Good","TEMP2103",1823,35,"16B","Uyi, O. O.et al.",2016,"Temperature-dependent performance and potential distribution of Pareuchaetes insulata, a biological control agent of Chromolaena odorata in South Africa","10.1007/s10526-016-9760-1","Pareuchaetes insulata","Erebidae","Insecta","Arthropoda","Both","Internal","Control agent","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Adult","No","Constant","No","TEMP2103A","Female","Yes",25,-9.4,24.5,15.1,"Cool",-1.191205755,0.117737139,1.511669951,0.042854775
"1081","Good","TEMP2103",1823,35,"16B","Uyi, O. O.et al.",2016,"Temperature-dependent performance and potential distribution of Pareuchaetes insulata, a biological control agent of Chromolaena odorata in South Africa","10.1007/s10526-016-9760-1","Pareuchaetes insulata","Erebidae","Insecta","Arthropoda","Both","Internal","Control agent","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Adult","No","Constant","No","TEMP2103A","Female","Yes",25,-4.6,24.5,19.9,"Cool",-0.163414193,0.100333803,0.343239821,0.033824223
"1082","Good","TEMP2103",1823,35,"16B","Uyi, O. O.et al.",2016,"Temperature-dependent performance and potential distribution of Pareuchaetes insulata, a biological control agent of Chromolaena odorata in South Africa","10.1007/s10526-016-9760-1","Pareuchaetes insulata","Erebidae","Insecta","Arthropoda","Both","Internal","Control agent","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Adult","No","Constant","No","TEMP2103A","Female","Yes",25,2.6,24.5,27.1,"Warm",0.314210302,0.101234101,-1.739197426,0.045936699
"1083","Good","TEMP2103",1823,35,"16B","Uyi, O. O.et al.",2016,"Temperature-dependent performance and potential distribution of Pareuchaetes insulata, a biological control agent of Chromolaena odorata in South Africa","10.1007/s10526-016-9760-1","Pareuchaetes insulata","Erebidae","Insecta","Arthropoda","Both","Internal","Control agent","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Adult","No","Constant","No","TEMP2103A","Female","Yes",25,4.7,24.5,29.2,"Warm",-1.956118838,0.147830011,-2.813064418,0.066305548
"1084","Good","TEMP2115",1834,35,NA,"van Steenis, M. J.; Elkhawass, K.",1995,"LIFE-HISTORY OF APHIS-GOSSYPII ON CUCUMBER - INFLUENCE OF TEMPERATURE, HOST-PLANT AND PARASITISM","10.1111/j.1570-7458.1995.tb01954.x","Aphis gossypii","Aphididae","Insecta","Arthropoda","Parthenogenetic","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","constant","no","TEMP2115_A","Female","Female",18,5,20,25,"Warm",0.397278269,0.05163995,-0.073898874,0.050675589
"1085","Good","TEMP2115",1834,35,NA,"van Steenis, M. J.; Elkhawass, K.",1995,"LIFE-HISTORY OF APHIS-GOSSYPII ON CUCUMBER - INFLUENCE OF TEMPERATURE, HOST-PLANT AND PARASITISM","10.1111/j.1570-7458.1995.tb01954.x","Aphis gossypii","Aphididae","Insecta","Arthropoda","Parthenogenetic","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","constant","no","TEMP2115_A","Female","Female",18,10,20,30,"Warm",0.536736966,0.053897719,0.033828968,0.052034458
"1086","Good","TEMP2115",1834,35,NA,"van Steenis, M. J.; Elkhawass, K.",1995,"LIFE-HISTORY OF APHIS-GOSSYPII ON CUCUMBER - INFLUENCE OF TEMPERATURE, HOST-PLANT AND PARASITISM","10.1111/j.1570-7458.1995.tb01954.x","Aphis gossypii","Aphididae","Insecta","Arthropoda","Parthenogenetic","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","constant","no","TEMP2115_B","Female","Female",18,5,20,25,"Warm",0.086582223,0.081243796,-0.285063319,0.081981442
"1087","Good","TEMP2115",1834,35,NA,"van Steenis, M. J.; Elkhawass, K.",1995,"LIFE-HISTORY OF APHIS-GOSSYPII ON CUCUMBER - INFLUENCE OF TEMPERATURE, HOST-PLANT AND PARASITISM","10.1111/j.1570-7458.1995.tb01954.x","Aphis gossypii","Aphididae","Insecta","Arthropoda","Parthenogenetic","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","constant","no","TEMP2115_B","Female","Female",18,10,20,30,"Warm",0.054464291,0.085745185,-0.335138349,0.086884262
"1088","Good","TEMP2116",1835,35,NA,"Varikou, K.et al.",2012,"Effect of Temperature on the Fecundity of Pezothrips kellyanus (Thysanoptera: Thripidae)","10.1603/AN11083","Pezothrips kellyanus","Thripidae","Insecta","Arthropoda","Both","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","constant","no","TEMP2116_A","Female","Female",NA,-10,25,15,"Cool",0.194486831,0.09808033,4.012262637,0.293939188
"1089","Good","TEMP2116",1835,35,NA,"Varikou, K.et al.",2012,"Effect of Temperature on the Fecundity of Pezothrips kellyanus (Thysanoptera: Thripidae)","10.1603/AN11083","Pezothrips kellyanus","Thripidae","Insecta","Arthropoda","Both","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","constant","no","TEMP2116_A","Female","Female",NA,-5,25,20,"Cool",-0.38127272,0.101817111,0.858753605,0.109218222
"1090","Good","TEMP2116",1835,35,NA,"Varikou, K.et al.",2012,"Effect of Temperature on the Fecundity of Pezothrips kellyanus (Thysanoptera: Thripidae)","10.1603/AN11083","Pezothrips kellyanus","Thripidae","Insecta","Arthropoda","Both","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","constant","no","TEMP2116_A","Female","Female",NA,5,25,30,"Warm",-0.355614655,0.096960043,-1.190100416,0.112315724
"1095","Good","TEMP2148",1859,36,"16B","Wang, K. H.et al.",1997,"Influence of temperature on development, survivorship, and reproduction of buckthorn aphid (Homoptera: Aphididae)","10.1093/aesa/90.1.62","Aphis nasturtii","Aphididae","Insecta","Arthropoda","Parthenogenetic",NA,"Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","Constant","No","TEMP2148A","Female","Female",24,-15,25,10,"Cool",-4.368830797,0.269036234,-0.587057716,0.095498773
"1096","Good","TEMP2148",1859,36,"16B","Wang, K. H.et al.",1997,"Influence of temperature on development, survivorship, and reproduction of buckthorn aphid (Homoptera: Aphididae)","10.1093/aesa/90.1.62","Aphis nasturtii","Aphididae","Insecta","Arthropoda","Parthenogenetic",NA,"Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","Constant","No","TEMP2148A","Female","Female",24,-10,25,15,"Cool",0.619418176,0.05959299,1.266914608,0.068194354
"1097","Good","TEMP2148",1859,36,"16B","Wang, K. H.et al.",1997,"Influence of temperature on development, survivorship, and reproduction of buckthorn aphid (Homoptera: Aphididae)","10.1093/aesa/90.1.62","Aphis nasturtii","Aphididae","Insecta","Arthropoda","Parthenogenetic",NA,"Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","Constant","No","TEMP2148A","Female","Female",24,-5,25,20,"Cool",0.065234815,0.067341467,1.649760438,0.088908561
"1098","Good","TEMP2148",1859,36,"16B","Wang, K. H.et al.",1997,"Influence of temperature on development, survivorship, and reproduction of buckthorn aphid (Homoptera: Aphididae)","10.1093/aesa/90.1.62","Aphis nasturtii","Aphididae","Insecta","Arthropoda","Parthenogenetic",NA,"Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","Constant","No","TEMP2148A","Female","Female",24,2,25,27,"Warm",-0.081461371,0.054257292,-0.423656114,0.055425187
"1099","Good","TEMP2148",1859,36,"16B","Wang, K. H.et al.",1997,"Influence of temperature on development, survivorship, and reproduction of buckthorn aphid (Homoptera: Aphididae)","10.1093/aesa/90.1.62","Aphis nasturtii","Aphididae","Insecta","Arthropoda","Parthenogenetic",NA,"Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","Constant","No","TEMP2148A","Female","Female",24,5,25,30,"Warm",-2.906852879,0.116396615,-1.799099412,0.079685101
"1100","Good","TEMP2148",1859,36,"16B","Wang, K. H.et al.",1997,"Influence of temperature on development, survivorship, and reproduction of buckthorn aphid (Homoptera: Aphididae)","10.1093/aesa/90.1.62","Aphis nasturtii","Aphididae","Insecta","Arthropoda","Parthenogenetic",NA,"Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","Constant","No","TEMP2148A","Female","Female",24,10,25,35,"Warm",-4.031001721,0.235858979,-1.902504979,0.1210458
"1101","Good","TEMP2149",1860,36,"16B","Wang, L.et al.",2019,"Temperature, deltamethrin-resistance status and performance measures of Plutella xylostella: complex responses of insects to environmental variables","10.1111/een.12805","Plutella xylostella","Plutellidae","Insecta","Arthropoda","Both","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","Constant","No","TEMP2149_A","Female","Female",23,-15,25,10,"Cool",-0.592833205,0.111059807,2.697436561,0.146886192
"1102","Good","TEMP2149",1860,36,"16B","Wang, L.et al.",2019,"Temperature, deltamethrin-resistance status and performance measures of Plutella xylostella: complex responses of insects to environmental variables","10.1111/een.12805","Plutella xylostella","Plutellidae","Insecta","Arthropoda","Both","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","Constant","No","TEMP2149_A","Female","Female",23,-10,25,15,"Cool",1.378148602,0.1775057,2.98403574,0.162542974
"1103","Good","TEMP2149",1860,36,"16B","Wang, L.et al.",2019,"Temperature, deltamethrin-resistance status and performance measures of Plutella xylostella: complex responses of insects to environmental variables","10.1111/een.12805","Plutella xylostella","Plutellidae","Insecta","Arthropoda","Both","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","Constant","No","TEMP2149_A","Female","Female",23,-5,25,20,"Cool",-0.668683344,0.15157434,0.966656261,0.085907926
