--,Decision,Exclusion reason,Paper code,Paper number,Screening set,Extraction set,Paper,Publication year,Title,DOI,Species latin,Family,Class,Phylum,Sex exposed,Fertilisation mode,Agricultural importance,Lab or field,Animal origin,Stressor variation,Habitat,Country of origin,Continent of origin,Ocean/sea of origin,Exposure duration,Life-stage of animal,Lowest temp below 10°C?,Constant or fluctuating?,Acclimated?,Temperature,Humidity,pH,Salinity,Radiation,Number of stressors,Interaction effects?,Other stressors,Gamete traits,Gonad traits,Reproductive output,Mating behaviour,Survival,Comments,Number of projects,#SURVIVAL,#AQUATIC,#WILD,#SPERM,#COLD,#INTERACTION,...52
Valentina,Include,NA,TEMP589,548,9,4C,"Foray, V.et al.",2011,Differential thermal performance curves in response to different habitats in the parasitoid Venturia canescens,10.1007/s00114-011-0818-8,Venturia canescens,Ichneumonidae,Insecta,Arthropoda,Both sexes,Internal,Control agent,Lab,Wild-caught,Experimental,Terrestrial,France,Europe,NA,More than 5 days,Adult,Yes,Constant,No,Yes,No,No,No,No,1,NA,No,NA,NA,"Fecundity, maximum egg load",NA,Yes,NA,2,Yes,No,No,No,Yes,No,NA
Alessio,Include,NA,TEMP59,137,1,2B,"Amarasekare, K. G.et al.",2008,Effect of Temperature on the Life History of the Mealybug Paracoccus marginatus (Hemiptera: Pseudococcidae,10.1603/0022-0493-101.6.1798,Paracoccus marginatus,Pseudococcidae,Insecta,Arthropoda,Both sexes,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,No,Yes,No,No,No,No,1,NA,No,NA,NA,Fecundity,NA,Yes,NA,1,Yes,No,No,No,No,No,NA
Valentina,Exclude,sample size not clear,TEMP593,553,10,4C,"Franco, S. C.et al.",2015,The effects of rearing temperature on reproductive conditioning of stalked barnacles (Pollicipes pollicipes),10.1016/j.aquaculture.2015.06.015,Pollicipes pollicipes,Pollicipedidae,Crustacea,Arthropoda,Hermaphrodite,Internal,Other,Lab,Wild-caught,Experimental,Aquatic,Portugal,Europe,NA,More than 5 days,Adult,No,Both,No,Yes,No,No,No,No,1,NA,No,NA,NA,Fecundity,NA,Yes,NA,2,Yes,Yes,No,No,No,No,NA
Stefan,Include,NA,TEMP594,554,10,5A,"Francuski, L.et al.",2020,Effect of temperature on egg production in the common housefly,10.1111/eea.12912,Musca domestica,Muscidae,Insecta,Arthropoda,Both sexes,Internal,Other,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Adult,No,Constant,Yes (multiple generations),Yes,No,No,No,No,1,NA,No,NA,NA,Egg number,NA,Yes,Paper also has daily egg numbers,1,Yes,No,No,No,No,No,NA
Valentina,Include,NA,TEMP595,555,10,4C,"Franke, K.; Fischer, K. m. m.",2013,Effects of inbreeding and temperature stress on life history and immune function in a butterfly,10.1111/jeb.12064,Bicyclus anynana,Nymphalidae,Insecta,Arthropoda,Both sexes,Internal,No,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,Less than 24 hrs,Mix,Yes,Constant,No,Yes,No,No,No,No,1,NA,No,NA,NA,Fecundity,NA,Yes,NA,2,Yes,No,No,No,Yes,No,NA
Fay Frost,Exclude,Fluctuating temp. Same mean,TEMP596,556,10,C,"Franke, K.et al.",2014,Fitness costs associated with different frequencies and magnitudes of temperature change in the butterfly Bicyclus anynana,10.1016/j.jtherbio.2014.02.006,Bicyclus anynana,Nymphalidae,Insecta,Arthropoda,Both sexes,Internal,No,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,Mix,Mix,Yes,Both,No,Yes,No,No,No,No,1,NA,No,NA,NA,Fecundity,NA,Yes,NA,2,Yes,No,No,No,Yes,No,NA
Abhishek,Include,NA,TEMP610,61,T7,1A,"Gadino & Walton, 2012",2012,Temperature-related development and population parameters for Typhlodromus pyri (Acari: Phytoseiidae) found in Oregon vineyards,10.1007/s10493-012-9562-9,Typhlodromus pyri,Phytoseiidae,Arachnida,Arthropoda,Females only,Internal,Control agent,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,No,Yes,No,No,No,No,1,NA,No,NA,NA,Egg number,NA,Yes,"Developmental rate, reproductive rate, viability data also present",1,Yes,No,No,No,No,No,NA
Stefan,Exclude,No useable data,TEMP620,569,10,5B,"Ganaha-Kikumura, T.; Kijima, K.",2016,Effects of temperature on the development and fecundity of Thrips nigropilosus (Thysanoptera: Thripidae) on Chrysanthemum morifolium (Asterales: Asteraceae),10.1007/s13355-016-0439-y,Thrips nigropilosus,Thripidae,Insecta,Arthropoda,Both sexes,Internal,Pest,Lab,Wild-caught,Experimental,Terrestrial,Japan,Asia,NA,More than 5 days,Adult,No,Constant,No,Yes,No,No,No,No,1,NA,No,NA,NA,Fecundity,NA,Yes,Population-level data available,1,Yes,No,No,No,No,No,NA
Abhishek,Include,NA,TEMP622,66,T7,1A,"Ganjisaffar et al, 2011",2011,Temperature-dependent development and life table parameters of Typhlodromus bagdasarjani (Phytoseiidae) fed on two-spotted spider mite,10.1007/s10493-011-9467-z,Typhlodromus bagdasarjani,Phytoseiidae,Arachnida,Arthropoda,Both sexes,Internal,Control agent,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,No,Yes,No,No,No,No,1,NA,No,na,NA,Egg number,NA,Yes,"Sex ratio, preoviposition, oviposition, post oviposition period, number of eggs per female, per day also present",1,Yes,No,No,No,No,No,NA
Stefan,Exclude,Fluctutating temp. Same mean.,TEMP623,571,10,5B,"Gao, G. Z.et al.",2018,"Effect of the frequency and magnitude of extreme temperature on the life history traits of the large cotton aphid, Acyrthosiphon gossypii (Hemiptera: Aphididae): implications for their population dynamics under global warming",10.1127/entomologia/2018/0514,Acyrthosiphon gossypii,Aphididae,Insecta,Arthropoda,Parthenogenetic,NA,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Both,No,Yes,No,No,No,No,1,NA,No,NA,NA,Fecundity,NA,Yes,NA,1,Yes,No,No,No,No,No,NA
Abhishek,Include,NA,TEMP624,67,T7,1A,"Gao & Zou, 2001",2001,"Biology, life table and host specificity of the mushroom pest, Brennandania lambi (Acari : Pygmephoroidea",10.1023/A:1010651509355,Brennandania lambi,Microdispidae,Arachnida,Arthropoda,Females only,Internal,No,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,No,Yes,No,No,No,No,1,NA,No,NA,NA,Egg number,NA,Yes,"Sex ratio, development time, duration of oviposition, fecundity rate, mean generation time, net reproductive rate, sex ratio also present",1,Yes,No,No,No,No,No,NA
Fay Frost,Exclude,Fluctuating temp where mean isn't appropriate,TEMP628,69,T7,C,"Gardner et al, 2012",2012,Recurrent warming to improve cold storage of Trichogrammatids (Hymenoptera: Trichogrammatidae,10.1080/09583157.2011.651099,Trichogramma ostriniae,Trichogrammatidae,Insecta,Arthropoda,Both sexes,Internal,Control agent,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,Yes,Fluctuating,No,Yes,No,No,No,No,1,NA,No,NA,NA,Egg number,NA,Yes,NA,2,Yes,No,No,No,Yes,No,NA
Abhishek,Include,NA,TEMP629,70,T7,1A,"Garrad et al, 2015",2015,"The effect of rearing temperature on development, body size, energetics and fecundity of the diamondback moth",10.1017/S000748531500098X,Plutella xylostella,Plutellidae,Insecta,Arthropoda,Both sexes,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,No,Yes,No,No,No,No,1,NA,No,NA,NA,Egg number,NA,Yes,NA,1,Yes,No,No,No,No,No,NA
Stefan,Exclude,Fitness data at population level only,TEMP632,576,10,5A,"Geden, C. J.et al.",2019,Effect of Fluctuating High Temperatures on House Flies (Diptera: Muscidae) and Their Principal Parasitoids (Muscidifurax spp. and Spalangia spp. Hymenoptera: Pteromalidae ) From the United States,10.1093/jme/tjz080,"Musca domestica, Muscidifurax raptor,  Spalangia cameroni, Muscidifurax zaraptor, Spalangia endius",Mix,Insecta,Arthropoda,Both sexes,Internal,No,Lab,Mix,Experimental,Terrestrial,USA,North America,NA,More than 5 days,Mix,No,Both,Yes (mix),Yes,No,No,No,No,1,NA,No,NA,NA,"number of progeny, number of eggs laid,",NA,Yes,NA,1,Yes,No,No,No,No,No,NA
Stefan,Include,NA,TEMP634,578,10,5A,"Geister, T. L.et al.",2008,"Effects of temperature on reproductive output, egg provisioning, juvenile hormone and vitellogenin titres in the butterfly Bicyclus anynana",10.1016/j.jinsphys.2008.06.002,Bicyclus anynana,Nymphalidae,Insecta,Arthropoda,Females only,Internal,No,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Adult,No,Constant,No,Yes,No,No,No,No,1,NA,No,Egg size,NA,Daily egg number,NA,Yes,NA,1,Yes,No,No,No,No,No,NA
Stefan,Include,NA,TEMP635,579,10,5A,"Geng, S.; Jung, C.",2017,Effect of temperature on longevity and fecundity of Phyllonorycter ringoniella (Lepidoptera: Gracillariidae) and its oviposition model,10.1016/j.aspen.2017.09.012,Phyllonorycter ringoniella,Gracillariidae,Insecta,Arthropoda,Both sexes,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,No,Yes,No,No,No,No,1,NA,No,NA,NA,Fecundity,NA,Yes,NA,1,Yes,No,No,No,No,No,NA
Marco Graziano,Include,NA,TEMP638,582,10,20B,"Gharibi, M. R.et al.",2016,"Life Cycle of the Fairy Shrimp, Phallocryptus spinosa Milne Edwards, 1840 (Crustacea: Anostraca) at Different Temperatures",NA,Phallocryptus spinosa,Thamnocephalidae,Crustacea,Arthropoda,Both sexes,Internal,No,Lab,Wild-caught,Experimental,Aquatic,Iran,Asia,NA,More than 5 days,Mix,No,Constant,No,Yes,No,No,No,No,1,NA,No,NA,NA,"number of clutches, clutch size, offspring produced per day",NA,Yes,Survival rate was assessed in the study at different time points. The one used for effect size extraction is the one resulting from the longest exposition period (18 days).,2,Yes,Yes,No,No,No,No,NA
Stefan,Include,NA,TEMP639,583,10,5A,"Ghazy, N. A.et al.",2019,Impact of global warming scenarios on life-history traits of Tetranychus evansi (Acari: Tetranychidae,10.1186/s12898-019-0264-6,Tetranychus evansi,Tetranychidae,Arachnida,Arthropoda,Both sexes,Internal,Pest,Lab,Wild-caught,Experimental,Terrestrial,Japan,Asia,NA,More than 5 days,Mix,No,Fluctuating,No,Yes,No,No,No,No,1,NA,No,NA,NA,Fecundity,NA,Yes,NA,1,Yes,No,No,No,No,No,NA
Stefan,Exclude,"Complex models, no treatment-specific data extractable",TEMP642,586,10,5B,"Gilchrist, G. W.; Huey, R. B.",2001,Parental and developmental temperature effects on the thermal dependence of fitness in Drosophila melanogaster,10.1111/j.0014-3820.2001.tb01287.x,Drosophila melanogaster,Drosophilidae,Insecta,Arthropoda,Both sexes,Internal,No,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,Yes (mix),Yes,No,No,No,No,1,NA,No,NA,NA,population growth rate,NA,Yes,NA,1,Yes,No,No,No,No,No,NA
Stefan,Exclude,No useable data,TEMP643,587,10,5A,"Gilles, J.et al.",2005,Effects of temperature on the rate of increase of Stomoxys calcitrans and Stomoxys niger niger (Diptera : muscidae) from La Reunion Island,10.1093/jmedent/42.6.959,"Stomoxys niger, Stomoxys calcitrans",Muscidae,Insecta,Arthropoda,Both sexes,Internal,No,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,No,Yes,No,No,No,No,1,NA,No,NA,NA,"Fecundity, net reproductive rate",NA,Yes,Population-level data available,1,Yes,No,No,No,No,No,NA
Stefan,Include,NA,TEMP649,593,10,5A,"Glatz, J.et al.",2017,The effect of temperature on the development and reproduction of Busseola fusca (Lepidoptera: Noctuidae,10.1017/S0007485316000572,Busseola fusca,Noctuidae,Insecta,Arthropoda,Both sexes,Internal,No,Lab,Wild-caught,Experimental,Terrestrial,South Africa,Africa,NA,More than 5 days,Mix,No,Constant,No,Yes,No,No,No,No,1,NA,No,NA,NA,"Number of eggs, hatching success",NA,Yes,NA,1,Yes,No,No,No,No,No,NA
Stefan,Exclude,Fitness data at population level only,TEMP652,596,10,5B,"Godwin, J. L.et al.",2020,Mating patterns influence vulnerability to the extinction vortex,10.1111/gcb.15186,Tribolium castaneum,Tenebrionidae,Insecta,Arthropoda,Both sexes,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,1 to 5 days,Adult,No,Constant,No,Yes,No,No,No,No,1,NA,Nutrition,NA,NA,Number of offspring,NA,Yes,Population-level data available,1,Yes,No,No,No,No,No,NA
Stefan,Include,NA,TEMP653,597,10,5A,"Goebel, R.",2006,"The effect of temperature on development and reproduction of the sugarcane stalk borer, Chilo sacchariphagus (Bojer 1856) (Lepidoptera : Crambidae)",NA,Chilo sacchariphagus,Crambidae,Insecta,Arthropoda,Both sexes,Internal,Pest,Lab,Wild-caught,Experimental,Terrestrial,Réunion,Africa,NA,More than 5 days,Adult,No,Constant,No,Yes,No,No,No,No,1,NA,No,NA,NA,Fecundity,mating success,Yes,NA,1,Yes,No,No,No,No,No,NA
Ben Cole,Exclude,No SD,TEMP654,598,10,18,"Goindin, D.et al.",2015,Parity and Longevity of Aedes aegypti According to Temperatures in Controlled Conditions and Consequences on Dengue Transmission Risks,10.1371/journal.pone.0135489,Aedes aegypti,Culicidae,Insecta,Arthropoda,Females only,Internal,Other,Lab,Wild-caught,Experimental,Both,Guadeloupe,North America,NA,More than 5 days,Adult,No,Constant,No,Yes,No,No,No,No,1,NA,No,NA,NA,Fecundity,NA,Yes,NA,1,Yes,No,No,No,No,No,NA
Fay Frost,Exclude,sample sizes not clear,TEMP656,600,10,C,"Goldasteh, S.et al.",2009,"EFFECT OF TEMPERATURE ON LIFE HISTORY AND POPULATION GROWTH PARAMETERS OF PLANOCOCCUS CITRI (HOMOPTERA, PSEUDOCOCCIDAE) ON COLEUS SOLENOSTEMON SCUTELLARIOIDES (L.) CODD",10.2298/ABS0902329G,Planococcus citri,Pseudococcidae,Insecta,Arthropoda,Both sexes,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,Yes,Constant,No,Yes,No,No,No,No,1,NA,No,NA,NA,Fecundity,NA,Yes,NA,2,Yes,No,No,No,Yes,No,NA
Stefan,Include,NA,TEMP657,601,11,5B,"Golec, J. R.et al.",2017,Influence of Temperature on the Reproductive and Developmental Biology of Ontsira mellipes (Hymenoptera: Braconidae): Implications for Biological Control of the Asian Longhorned Beetle (Coleoptera: Cerambycidae,10.1093/ee/nvx100,Ontsira mellipes,Braconidae,Insecta,Arthropoda,Females only,Internal,Control agent,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Adult,No,Constant,No,Yes,No,No,No,No,1,NA,No,NA,NA,Fecundity,NA,Yes,NA,1,Yes,No,No,No,No,No,NA
Ben Cole,Exclude,No useable data,TEMP667,610,11,18,"Goode, A. B. C.et al.",2020,"Temperature dependent survival and fecundity of Lepidelphax pistiae Remes Lenicov (Hemiptera: Delphacidae), a potential biological control agent of Pistia stratiotes L. (Araceae",10.1080/09583157.2020.1713299,Lepidelphax pistiae,Delphacidae,Insecta,Arthropoda,Both sexes,Internal,Control agent,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,No,Yes,No,No,No,No,1,NA,No,NA,NA,Offspring emergence,NA,Yes,NA,1,Yes,No,No,No,No,No,NA
Ben Cole,Include,NA,TEMP671,613,11,18,"Gotoh, T.et al.",2015,Development and reproduction of five Tetranychus species (Acari: Tetranychidae): Do they all have the potential to become major pests?,10.1007/s10493-015-9919-y,"Tetranychus ludeni, Tetranychus phaselus, Tetranychus piercei, Tetranychus truncatus",Tetranychidae,Arachnida,Arthropoda,Females only,Internal,No,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,No,Yes,No,No,No,No,1,NA,No,NA,NA,Egg number,NA,Yes,NA,1,Yes,No,No,No,No,No,NA
Stefan,Include,NA,TEMP672,614,11,5B,"Gotoh, T.et al.",2004,"Effect of temperature on life history traits of the predatory thrips, Scolothrips takahashii Priesner (Thysanoptera : Thripidae)",10.1303/aez.2004.511,Scolothrips takahashii,Thripidae,Insecta,Arthropoda,Females only,Internal,Control agent,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,1 to 5 days,Adult,No,Constant,No,Yes,No,No,No,No,1,NA,No,NA,NA,Egg number,NA,Yes,Population-level data available,1,Yes,No,No,No,No,No,NA
Fay Frost,Exclude,No sample size,TEMP673,615,11,NA,"Gotoh, T.et al.",2014,Effects of constant and variable temperatures on development and reproduction of the two-spotted spider mite Tetranychus urticae (Acari: Tetranychidae,10.1007/s10493-014-9841-8,Tetranychus urticae,Tetranychidae,Arachnida,Arthropoda,Both Sexes,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,more than 5 days,mix,no,fluctuating,no,Yes,no,no,no,no,no,no,no,NA,NA,egg number,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stefan,Include,"Assays done at 5 different sex ratios: 1:1, 1:2, 1:3, 2:1, 3:1. Only used single-female SR's for reproduction as otherwise unclear which female laid eggs within trials. Longevity only for 1:1 ratio because it could otherwise be affected by competition with non-independent effects within trials.",TEMP675,617,11,5B,"Gou, Y.et al.",2019,"Effects of sex ratio on adult fecundity, longevity and egg hatchability of Bradysia difformis Frey at different temperatures",10.1371/journal.pone.0217867,Bradysia difformis,Sciaridae,Insecta,Arthropoda,Both sexes,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,No,Yes,No,No,No,No,1,NA,No,Egg hatching,NA,Fecundity,NA,Yes,Data available for 4 other sex ratios. Only used those for 1:1.,1,Yes,No,No,No,No,No,NA
Fay Frost,Include,NA,TEMP678,620,11,C,"Gould, J.et al.",2005,Effect of temperature on development and population parameters of Copitarsia decolora (Lepidoptera : Noctuidae,10.1603/0046-225X-34.3.548,Copitarsia decolora,Noctuidae,Insecta,Arthropoda,Both sexes,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,Yes,Constant,No,Yes,No,No,No,No,1,NA,No,NA,NA,Egg number,NA,Yes,NA,2,Yes,No,No,No,Yes,No,NA
Fay Frost,Exclude,No SD,TEMP679,621,11,NA,"Gould, J.et al.",1995,"Preimaginal development, adult longevity and fecundity of Encarsia inaron (Hym: Aphelinidae) parasitizing Siphoninus phillyreae (Hom: Aleyrodidae) in California",10.1007/BF02372681,Encarsia inaron,Aphelinidae,Insecta,Arthropoda,Females only,Internal,Control agent,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,more than 5 days,mix,no,constant,no,Yes,no,no,no,no,1,no,no,NA,NA,egg number,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ben Cole,Include,NA,TEMP680,622,11,18,"Govindan, B. N.; Hutchison, W. D.",2020,"Influence of Temperature on Age-Stage, Two-Sex Life Tables for a Minnesota-Acclimated Population of the Brown Marmorated Stink Bug (Halyomorpha halys)",10.3390/insects11020108,Halyomorpha halys,Pentatomidae,Insecta,Arthropoda,Both sexes,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Adult,No,Constant,No,Yes,No,No,No,No,1,NA,No,NA,NA,Egg number,NA,Yes,NA,1,Yes,No,No,No,No,No,NA
Marco Graziano,Exclude,No sample size,TEMP681,623,11,20B,"GOWEN, S.",1970,OBSERVATIONS ON FECUNDITY AND LONGEVITY OF TYLENCHUS-EMARGINATUS ON SITKA SPRUCE SEEDLINGS AT DIFFERENT TEMPERATURES,10.1163/187529270X00289,Tylenchus emarginatus,Tylenchidae,Secernentea,Nematoda,Parthenogenetic,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,Yes,Both,No,Yes,No,No,No,No,1,NA,No,NA,NA,Total larvae hatched,NA,Yes,NA,2,Yes,No,No,No,Yes,No,NA
Ben Cole,Include,NA,TEMP683,625,11,18,"Graf, B.et al.",2018,"Predicting the phenology of codling moth, Cydia pomonella, for sustainable pest management in Swiss apple orchards",10.1111/eea.12717,Cydia pomonella,Tortricidae,Insecta,Arthropoda,Both sexes,Internal,Pest,Semi-natural,Wild-caught,Experimental,Terrestrial,Switzerland,Europe,NA,More than 5 days,Mix,No,Both,No,Yes,No,No,No,No,1,NA,No,NA,NA,Total fecundity,NA,Yes,NA,1,Yes,No,No,No,No,No,NA
Mareike Koppik,Include,NA,TEMP684,626,11,6A,"Graf, B.et al.",2015,"Temperature effects on reproduction and adult lifespan of the smaller fruit tortrix, Grapholita lobarzewskii",10.1111/eea.12258,Grapholita lobarzewskii,Tortricidae,Insecta,Arthropoda,Both sexes,Internal,Pest,Semi-natural,Lab-reared,Both,Terrestrial,NA,NA,NA,More than 5 days,Adult,No,Both,No,Yes,No,No,No,No,1,NA,No,NA,NA,Total fecundity,NA,Yes,fluctuating temperature treatment,1,Yes,No,No,No,No,No,NA
Stefan,Include,NA,TEMP686,628,11,5B,"Grazer, V. M.; Martin, O. Y.",2012,Elevated temperature changes female costs and benefits of reproduction,10.1007/s10682-011-9508-4,Tribolium castaneum,Tenebrionidae,Insecta,Arthropoda,Females only,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Adult,No,Constant,No,Yes,No,No,No,No,1,NA,No,NA,NA,Larvae production,NA,Yes,NA,1,Yes,No,No,No,No,No,NA
Mareike Koppik,Exclude,No SD,TEMP690,632,11,6A,"GREENFIELD, M.; KARANDINOS, M.",1976,FECUNDITY AND LONGEVITY OF SYNANTHEDON-PICTIPES LEPIDOPTERA-SESIIDAE(AEGERIIDAE) UNDER CONSTANT AND FLUCTUATING TEMPERATURES,10.1093/ee/5.5.883,Synanthedon pictipes,Sesiidae,Insecta,Arthropoda,Females only,Internal,No,Lab,Wild-caught,Experimental,Terrestrial,USA,North America,NA,More than 5 days,Adult,No,Both,No,Yes,No,No,No,No,1,NA,No,NA,NA,Oviposition rate,NA,Yes,NA,1,Yes,No,No,No,No,No,NA
Natalie Pilakouta,Include,NA,TEMP698,639,11,24B,"Gu, H.; Danthanarayana, W. m. a. (a)",2000,Genetic variation in the life-history traits of Epiphyas postvittana: population structure and local adaptation,10.1046/j.1442-9993.2000.01051.x,Epiphyas postvittana,Tortricidae,Insecta,Arthropoda,Both sexes,Internal,No,Lab,Wild-caught,Experimental,Terrestrial,Australia,Australasia,NA,More than 5 days,Juvenile,No,Constant,Yes (>4 days),Yes,No,No,No,No,1,NA,No,Egg number,NA,Total fecundity,NA,Yes,NA,1,Yes,No,No,No,No,No,NA
Natalie Pilakouta,Exclude,No SD,TEMP699,640,11,24B,"Gu, H.; Danthanarayana, W. m. d. (b)",2000,Variations in life history traits and flight capacity among populations of the light brown apple moth Epiphyas postvittana (Walker) (Lepidoptera : Tortricidae,10.1046/j.1442-9993.2000.01056.x,Epiphyas postvittana,Tortricidae,Insecta,Arthropoda,Both sexes,Internal,No,Lab,Wild-caught,Experimental,Terrestrial,"Australia, New Zealand",Australasia,NA,More than 5 days,Juvenile,No,Constant,No,Yes,No,No,No,No,1,NA,No,NA,NA,Total fecundity,NA,Yes,NA,1,Yes,No,No,No,No,No,NA
Mareike Koppik,Exclude,No SD,TEMP701,642,11,6B,"Guinnee, M.; Moore, J. m. a.",2004,The effect of parasitism on host fecundity is dependent on temperature in a cockroach-acanthocephalan system,10.1645/GE-98R1,Supella longipalpa,Ectobiidae,Insecta,Arthropoda,Both sexes,Internal,No,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Adult,No,Constant,No,Yes,No,No,No,No,1,NA,Parasites,NA,NA,Offspring number,NA,Yes,NA,1,Yes,No,No,No,No,No,NA
Mareike Koppik,Exclude,no usable fertility data but population growth rates,TEMP702,643,11,6A,"Gunay, F.et al.",2010,"Estimating reaction norms for predictive population parameters, age specific mortality, and mean longevity in temperature-dependent cohorts of Culex quinquefasciatus Say (Diptera: Culicidae)",10.1111/j.1948-7134.2010.00094.x,Culex quinquefasciatus,Culicidae,Insecta,Arthropoda,Both sexes,Internal,Other,Lab,Lab-reared,Experimental,Both,NA,NA,NA,More than 5 days,Juvenile,No,Constant,No,Yes,No,No,No,No,1,NA,No,NA,NA,Net reproduction rate,NA,Yes,contains population growth estimates,1,Yes,No,No,No,No,No,NA
Mareike Koppik,Include,NA,TEMP703,644,11,6B,"Gunie, G.; Lauge, G.",1997,"Effects of high temperatures recorded during diapause completion of Trichogramma brassicae prepupae (Hym.: Trichogrammatidae), on the treated generation and its progeny",10.1007/BF02769825,Trichogramma brassicae,Trichogrammatidae,Insecta,Arthropoda,Both sexes,Internal,Control agent,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,Less than 24 hrs,Juvenile,No,Constant,No,Yes,No,No,No,No,1,NA,No,NA,NA,Total fecundity,NA,Yes,NA,1,Yes,No,No,No,No,No,NA
Fay Frost,Include,NA,TEMP705,646,11,C,"Guo, J.-Y.et al.",2012,"Performance of Agasicles hygrophila (Coleoptera: Chrysomelidae), a biological control agent of invasive alligator weed, at low non-freezing temperatures",10.1007/s10530-010-9932-3,Agasicles hygrophila,Chrysomelidae,Insecta,Arthropoda,Both sexes,Internal,Control agent,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Adult,Yes,Constant,No,Yes,No,No,No,No,1,NA,No,NA,NA,Fecundity,NA,Yes,NA,2,Yes,No,No,No,Yes,No,NA
Mareike Koppik,Include,NA,TEMP706,647,11,6A,"Guo, T. T.et al.",2017,Impact of Temperature on the Growth and Development of Athetis dissimilis (Lepidoptera: Noctuidae),10.1093/jee/tow229,Athetis dissimilis,Noctuidae,Insecta,Arthropoda,Both sexes,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,No,Yes,No,No,No,No,1,NA,No,NA,NA,Fecundity,NA,Yes,contains population growth estimates,1,Yes,No,No,No,No,No,NA
Stefan,Exclude,No sample size,TEMP713,652,12,5C,"HAGLEY, E.",1977,EFFECT OF LOW-TEMPERATURES ON MORTALITY OF HIBERNATING CODLING MOTH LARVAE AND FERTILITY OF SURVIVING ADULTS (LEPIDOPTERA-OLETHREUTIDAE,10.4039/Ent109123-1,Cydia pomonella,Tortricidae,Insecta,Arthropoda,Females only,Internal,Pest,Lab,Wild-caught,Experimental,Terrestrial,USA,North America,NA,Mix,Mix,Yes,Constant,Yes (mix),Yes,No,No,No,No,1,NA,No,NA,NA,"Proportion of reproductive females, Hatching success, Egg number",NA,Yes,NA,2,Yes,No,No,No,Yes,No,NA
Abhishek,Include,NA,TEMP714,72,T8,1B,"Hagley & Barber, 1991",1991,"MORTALITY, FECUNDITY AND LONGEVITY OF PARASITOIDS OF THE SPOTTED TENTIFORM LEAFMINER, PHYLLONORYCTER-BLANCARDELLA [LEP, GRACILLARIIDAE] AT CONSTANT TEMPERATURES IN THE LABORATORY",10.1007/BF02377946,Pholetesor ornigis,Braconidae,Insecta,Arthropoda,Both sexes,Internal,Control agent,Lab,Wild-caught,Experimental,Terrestrial,Canada,North America,NA,1 to 5 days,Adult,No,Both,No,Yes,No,No,No,No,1,NA,No,NA,NA,Egg number,NA,Yes,NA,1,Yes,No,No,No,No,No,NA
